post_id,timestamp,date,hour,weekday,weekday_num,platform,content_type,category,hashtags,followers,likes,comments,shares,saves,clicks,reach,total_engagement,engagement_rate,is_anomaly,anomaly_factor
POST_00716,2025-10-09 15:39:33.677712,2025-10-09,15,Thursday,3,TikTok,Video,Health,#MentalHealth|#Fitness|#Nutrition,3061,222,173,114,22,353,3444,531,15.4181,normal,1.0
POST_00418,2025-10-09 18:22:44.677712,2025-10-09,18,Thursday,3,YouTube,Video,Education,#StudyTips|#OnlineCourse|#Learning,5943,372,390,252,47,725,17436,1061,6.0851,normal,1.0
POST_00482,2025-10-09 18:24:51.677712,2025-10-09,18,Thursday,3,LinkedIn,Carousel,Entertainment,#MustWatch|#Viral,8783,399,485,145,89,305,10604,1118,10.5432,normal,1.0
POST_00421,2025-10-09 20:17:29.677712,2025-10-09,20,Thursday,3,Twitter,Reel/Short,Lifestyle,#Goals|#Motivation,38825,2760,1859,5002,263,8592,99160,9884,9.9677,normal,1.0
POST_00235,2025-10-09 22:31:09.677712,2025-10-09,22,Thursday,3,TikTok,Text,Entertainment,#Viral|#Trending|#MustWatch|#Fun,3456,170,220,43,17,197,5009,450,8.9838,normal,1.0
POST_01313,2025-10-09 22:35:08.677712,2025-10-09,22,Thursday,3,Instagram,Image,Travel,#Explore|#Adventure|#Travel|#Backpacking,49986,2095,1074,992,381,5029,47994,4542,9.4637,normal,1.0
POST_00826,2025-10-09 22:35:47.677712,2025-10-09,22,Thursday,3,Instagram,Image,Food,#Recipe,159064,8229,5986,2404,1283,13193,240858,17902,7.4326,normal,1.0
POST_00063,2025-10-09 23:06:38.677712,2025-10-09,23,Thursday,3,TikTok,Carousel,Entertainment,#Entertainment|#Trending|#MustWatch,7446,436,130,333,31,527,8825,930,10.5382,normal,1.0
POST_01422,2025-10-10 08:00:31.677712,2025-10-10,8,Friday,4,Twitter,Carousel,Entertainment,#Fun,245588,10998,19340,18171,2587,22243,402124,51096,12.7065,normal,1.0
POST_00842,2025-10-10 10:22:56.677712,2025-10-10,10,Friday,4,LinkedIn,Image,Fashion,#Fashion,3000,80,54,29,4,201,2312,167,7.2232,normal,1.0
POST_01303,2025-10-10 10:42:42.677712,2025-10-10,10,Friday,4,Instagram,Carousel,Health,#MentalHealth|#Yoga|#Wellness|#Nutrition,40048,1596,765,427,121,4535,42889,2909,6.7826,normal,1.0
POST_00299,2025-10-10 15:22:34.677712,2025-10-10,15,Friday,4,TikTok,Video,Travel,#Adventure|#Wanderlust|#Backpacking|#Explore,8574,1102,560,210,212,480,16494,2084,12.6349,normal,1.0
POST_00365,2025-10-10 15:26:25.677712,2025-10-10,15,Friday,4,LinkedIn,Reel/Short,Health,#Fitness|#Wellness|#Yoga,9792,196,381,213,16,476,15064,806,5.3505,normal,1.0
POST_00602,2025-10-10 17:32:13.677712,2025-10-10,17,Friday,4,LinkedIn,Reel/Short,Education,#StudyTips,47819,1679,4190,2695,139,4065,40756,8703,21.3539,normal,1.0
POST_01396,2025-10-10 18:18:23.677712,2025-10-10,18,Friday,4,LinkedIn,Video,Lifestyle,#SelfCare|#DailyLife,13922,467,693,1413,110,1483,15494,2683,17.3164,normal,1.0
POST_00188,2025-10-10 19:41:02.677712,2025-10-10,19,Friday,4,Twitter,Video,Fashion,#OOTD|#Style|#Fashion|#StreetStyle,10180,340,1776,2730,39,342,15120,4885,32.3082,normal,1.0
POST_01919,2025-10-10 20:50:25.677712,2025-10-10,20,Friday,4,TikTok,Reel/Short,Tech,#MachineLearning,13184,2255,2029,2293,182,813,37789,6759,17.8862,normal,1.0
POST_00027,2025-10-11 00:44:26.677712,2025-10-11,0,Saturday,5,Instagram,Image,Entertainment,#Trending,14738,252,270,111,51,205,4940,684,13.8462,normal,1.0
POST_01931,2025-10-11 01:02:32.677712,2025-10-11,1,Saturday,5,YouTube,Reel/Short,Travel,#Explore,3064,77,138,45,5,137,2638,265,10.0455,normal,1.0
